Species,FlowerID,Trait
Lomatocarpa albomarginata,F00720,I
Meeboldia achilleifolia,F00721,I
Meeboldia delavayi,F00722,I
Meeboldia linearis,F00723,I
Meeboldia microloba,F00724,I
Melanosciadium bipinnatum,F00725,I
Melanosciadium genuflexum,F00726,I
Melanosciadium pimpinelloideum,F00727,I
Nothosmyrnium japonicum,F00728,I
Nothosmyrnium xizangense,F00729,I
Notopterygium tenuifolium,F00730,I
Oenanthe benghalensis,F00731,I
Oenanthe hookeri,F00732,I
Oenanthe javanica,F00733,I
Oenanthe linearis,F00734,I
Oenanthe thomsonii,F00735,I
Oreocome arguta,F00736,I
Oreocome limprichtii,F00737,I
Oreocome striata,F00738,I
Oreocomopsis xizangensis,F00739,I
Osmorhiza aristata,F00740,I
Ostericum atropurpureum,F00741,I
Ostericum citriodorum,F00742,I
Ostericum grosseserratum,F00743,I
Ostericum huadongense,F00744,I
Ostericum maximowiczii,F00745,I
Ostericum scaberulum,F00746,I
Ostericum sieboldii,F00747,I
Ostericum viridiflorum,F00748,I
Pachypleurum alpinum,F00749,I
Pachypleurum lhasanum,F00750,I
Pachypleurum muliense,F00751,I
Pachypleurum nyalamense,F00752,I
Paraligusticum discolor,F00753,I
Pastinaca sativa,F00754,I
Petroselinum crispum,F00755,I
Peucedanum ampliatum,F00756,I
Peucedanum angelicoides,F00757,I
Peucedanum caespitosum,F00758,I
Peucedanum chinense,F00759,I
Peucedanum dielsianum,F00760,I
Peucedanum dissolutum,F00761,I
Peucedanum elegans,F00762,I
Peucedanum franchetii,F00763,I
Peucedanum guangxiense,F00764,I
Peucedanum harry-smithii,F00765,I
Peucedanum henryi,F00766,I
Peucedanum huangshanense,F00767,I
Peucedanum japonicum,F00768,I
Peucedanum ledebourielloides,F00769,I
Peucedanum lhasense,F00770,I
Peucedanum longshengense,F00771,I
Peucedanum mashanense,F00772,I
Peucedanum medicum,F00773,I
Peucedanum morisonii,F00774,I
Peucedanum nanum,F00775,I
Peucedanum praeruptorum,F00776,I
Peucedanum pricei,F00777,I
Peucedanum shanianum,F00778,I
Peucedanum songpanense,F00779,I
Peucedanum torilifolium,F00780,I
Peucedanum turgeniifolium,F00781,I
Peucedanum veitchii,F00782,I
Peucedanum violaceum,F00783,I
Peucedanum wawrae,F00784,I
Peucedanum wulongense,F00785,I
Peucedanum yunnanense,F00786,I
Phlojodicarpus sibiricus,F00787,I
Phlojodicarpus villosus,F00788,I
Physospermopsis alepidioides,F00789,I
Physospermopsis cuneata,F00790,I
Physospermopsis delavayi,F00791,I
Physospermopsis handelii,F00792,I
Physospermopsis kingdon-wardii,F00793,I
Physospermopsis muliensis,F00794,I
Physospermopsis nana,F00795,I
Physospermopsis obtusiuscula,F00796,I
Physospermopsis rubrinervis,F00797,I
Physospermopsis shaniana,F00798,I
Pilopleura tordyloides,F00799,I
Pimpinella acuminata,F00800,I
Pimpinella anisum,F00801,I
Pimpinella atropurpurea,F00802,I
Pimpinella bisinuata,F00803,I
Pimpinella candolleana,F00804,I
Pimpinella caudata,F00805,I
